Demo_spol,Demo_starost,Demo_regija,Q1a_1_other,najboljše_ujemanje,razmerje,za_pregled
2,21,2,telemach,telemach,1.0,False
2,35,8,Hofer,hofer,1.0,False
1,23,8,A1,a1,1.0,False
2,35,2,Telemach,telemach,1.0,False
2,39,9,Telemach,telemach,1.0,False
1,37,9,A1,a1,1.0,False
2,32,2,Telemach,telemach,1.0,False
2,19,4,Hot,hot,1.0,False
1,30,8,Telemach,telemach,1.0,False
2,43,6,Telekom,telekom,1.0,False
2,37,2,Telekom,telekom,1.0,False
1,42,6,Telekom,telekom,1.0,False
1,30,2,Telemach,telemach,1.0,False
2,31,9,telekom,telekom,1.0,False
1,31,8,Huawei,hofer,0.36363636363636365,True
2,40,8,Telekom Slovenije,telekom slovenije,1.0,False
2,47,5,telemach,telemach,1.0,False
2,47,4,Telemach,telemach,1.0,False
2,68,8,Telemach,telemach,1.0,False
2,50,8,Izi mobil,izi mobil,1.0,False
1,37,8,Telekom,telekom,1.0,False
2,48,1,Telmach,telemach,0.9333333333333333,False
2,71,9,Hot,hot,1.0,False
1,40,8,A 1,a1,0.8,False
1,48,4,tečemach,telemach,0.875,False
2,32,2,Bob,bob,1.0,False
1,65,9,T2,t2,1.0,False
2,34,2,Telekom Slovenije,telekom slovenije,1.0,False
2,38,12,A1,a1,1.0,False
1,43,3,Telekom,telekom,1.0,False
2,42,8,Telekom,telekom,1.0,False
1,29,1,Telekom,telekom,1.0,False
1,21,1,Telekom,telekom,1.0,False
2,40,11,A1,a1,1.0,False
1,19,12,Hofer,hofer,1.0,False
1,68,9,A1,a1,1.0,False
2,41,2,Telemach,telemach,1.0,False
1,25,8,A1,a1,1.0,False
1,34,1,Bob,bob,1.0,False
1,28,8,A1,a1,1.0,False
1,45,8,Telekom,telekom,1.0,False
1,38,8,a1,a1,1.0,False
2,28,9,T2,t2,1.0,False
2,39,1,Telemach,telemach,1.0,False
2,46,8,T2,t2,1.0,False
1,38,9,Telekom,telekom,1.0,False
2,66,1,Telemach,telemach,1.0,False
2,37,8,A1,a1,1.0,False
1,38,8,t2,t2,1.0,False
1,28,8,telekom,telekom,1.0,False
2,23,9,A1,a1,1.0,False
2,43,1,T2,t2,1.0,False
1,40,8,A1,a1,1.0,False
2,34,12,Telekom,telekom,1.0,False
2,45,7,telemach,telemach,1.0,False
1,43,1,Telemach,telemach,1.0,False
2,29,2,Telekom,telekom,1.0,False
1,26,8,Telekom,telekom,1.0,False
1,35,2,Telekom slovenija,telekom slovenije,0.9411764705882353,False
1,37,2,telekom,telekom,1.0,False
1,33,7,A1,a1,1.0,False
2,41,3,bob,bob,1.0,False
1,23,7,A1,a1,1.0,False
2,63,2,Telemach,telemach,1.0,False
1,45,9,T2,t2,1.0,False
1,42,6,Telekom,telekom,1.0,False
1,24,2,Telekom,telekom,1.0,False
1,66,2,telmach,telemach,0.9333333333333333,False
1,32,2,Telemach,telemach,1.0,False
2,39,3,Bob,bob,1.0,False
2,16,8,Telekom Slovenije,telekom slovenije,1.0,False
2,40,8,Telekom,telekom,1.0,False
2,33,8,A1,a1,1.0,False
1,43,11,Telekom,telekom,1.0,False
2,46,8,Telekom,telekom,1.0,False
2,18,3,A1,a1,1.0,False
1,63,7,Telemach,telemach,1.0,False
2,22,7,Telekom,telekom,1.0,False
2,34,2,Telemach,telemach,1.0,False
