Demo_spol,Demo_starost,Demo_regija,Q1a_1_other,najboljše_ujemanje,razmerje,za_pregled
1,30,3,bob,bob,1.0,False
1,71,12,T2,t2,1.0,False
2,49,4,A1,a1,1.0,False
1,49,4,telekom,telekom,1.0,False
1,18,8,T2,t2,1.0,False
1,28,8,Telemach,telemach,1.0,False
1,55,4,Telemach,telemach,1.0,False
2,66,9,Telekom,telekom,1.0,False
1,29,4,Hot,hot,1.0,False
1,45,4,A1,a1,1.0,False
1,37,8,Telekom,telekom,1.0,False
1,35,8,Telekom,telekom,1.0,False
2,67,11,Siol,siol,1.0,False
1,25,8,Telemach,telemach,1.0,False
2,51,4,T2,t2,1.0,False
2,71,2,Telekom,telekom,1.0,False
1,28,8,telekom,telekom,1.0,False
1,15,7,A1,a1,1.0,False
2,53,8,Telekom,telekom,1.0,False
1,37,2,Telekom Slovenije,telekom slovenije,1.0,False
1,43,2,telekonm,telekom,0.9333333333333333,False
1,35,3,telemach,telemach,1.0,False
2,69,7,T2,t2,1.0,False
2,45,5,telekom,telekom,1.0,False
1,33,2,Hofer,hofer,1.0,False
2,60,2,Telemach,telemach,1.0,False
2,31,9,Hot,hot,1.0,False
1,33,8,Telemach,telemach,1.0,False
2,34,4,Telemach,telemach,1.0,False
2,66,5,A1,a1,1.0,False
1,43,9,Bob,bob,1.0,False
2,67,2,Telenach,telemach,0.875,False
1,43,7,Telemach,telemach,1.0,False
2,58,8,A1,a1,1.0,False
2,42,11,Telekom,telekom,1.0,False
2,28,1,A1,a1,1.0,False
2,33,4,Telekom,telekom,1.0,False
2,33,8,Hot,hot,1.0,False
2,46,2,telemach,telemach,1.0,False
2,67,8,A1,a1,1.0,False
2,43,11,Telekom,telekom,1.0,False
2,47,4,T2,t2,1.0,False
2,40,8,Telekom,telekom,1.0,False
2,27,8,A1,a1,1.0,False
1,66,2,bob,bob,1.0,False
1,67,2,telekom,telekom,1.0,False
2,46,2,A1,a1,1.0,False
2,17,8,T2,t2,1.0,False
2,44,5,A1,a1,1.0,False
2,69,8,a 1,a1,0.8,False
2,26,4,Telekom slovenije,telekom slovenije,1.0,False
2,67,5,TELEMACH,telemach,1.0,False
1,42,8,A1,a1,1.0,False
2,68,2,A1,a1,1.0,False
2,67,9,Telemach,telemach,1.0,False
1,33,11,A1,a1,1.0,False
1,45,10,Bob,bob,1.0,False
2,65,1,Telekom,telekom,1.0,False
2,69,8,Telekom,telekom,1.0,False
2,49,7,HOT,hot,1.0,False
1,69,1,telemach,telemach,1.0,False
2,49,8,Telekom,telekom,1.0,False
2,47,7,A1,a1,1.0,False
1,17,2,t2,t2,1.0,False
2,68,3,a1,a1,1.0,False
2,27,4,A1,a1,1.0,False
1,72,8,telekom,telekom,1.0,False
2,68,2,T2,t2,1.0,False
2,57,2,T2,t2,1.0,False
1,24,10,Bob,bob,1.0,False
1,48,8,telekom,telekom,1.0,False
2,70,2,telemach,telemach,1.0,False
1,43,8,Hot,hot,1.0,False
1,33,8,telekom,telekom,1.0,False
2,63,9,a1,a1,1.0,False
1,60,12,telekom,telekom,1.0,False
2,64,4,Telemah,telemach,0.9333333333333333,False
2,23,8,Telekom,telekom,1.0,False
1,68,11,telemah,telemach,0.9333333333333333,False
2,72,8,A1,a1,1.0,False
