Demo_spol,Demo_starost,Demo_regija,D11,S2,Q0B4_r1,Q0B4_r2,Q0B4_r3,Q0B4_r4,Q0B3,Q1a_1,Q1a_2,Q1a_3,Q1a_4,Q1a_5,Q1a_6,Q1a_7,Q1a_8,Q1a_9,Q1a_10,Q1a_11,Q1a_1_other,Q1a_2_other,Q1a_3_other,Q1a_4_other,Q1a_5_other,Q1a_6_other,Q1a_7_other,Q1a_8_other,Q1a_9_other,Q1a_10_other,Q2a_1,Q2a_2,Q2a_3,Q2a_4,Q2a_5,Q2a_6,Q2a_7,Q2a_8,Q1b_1,Q1b_2,Q1b_3,Q1b_4,Q1b_5,Q1b_6,Q1b_7,Q1b_8,Q1b_9,Q1b_10,Q1b_11,Q1b_1_other,Q1b_2_other,Q1b_3_other,Q1b_4_other,Q1b_5_other,Q1b_6_other,Q1b_7_other,Q1b_8_other,Q1b_9_other,Q1b_10_other,Q2b_1,Q2b_2,Q2b_3,Q2b_4,Q2b_5,Q2b_6,PREFmobilni,PREFmobilni_8_other,PREFfix
1,23,7,3,2,1,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,Telemach,A1,Mobitel,Bob,Telekom slovenije, , , , , ,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Telemach,A1,Telekom slovenije,T2, , , , , , ,1,1,1,1,1,0,3, ,2
2,46,4,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,Telekom,Telemach,A1, , , , , , , ,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Telekom,Telemach,A1, , , , , , , ,1,1,1,1,1,0,1, ,1
1,52,2,7,2,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,Hot,Bob,A1,Telemach,Telekom slovenije,T2, , , , ,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,A1,Telemach,T2,Telekom slovenije,Amis, , , , , ,1,1,1,1,1,0,6, ,3
1,34,2,3,2,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,A1,T2,Telekom,Telemach, , , , , , ,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,T2,Amis,Telekom,Telemach, , , , , , ,0,1,0,0,0,0,2, ,1
1,34,2,3,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,Telekom,A1, , , , , , , , ,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Telekom, , , , , , , , , ,1,1,1,0,1,0,6, ,1
2,53,5,2,2,1,2,1,2,2,1,1,1,1,0,0,0,0,0,0,0,Telemach,Telekom,A1,T2, , , , , , ,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,Telemach,Telekom,A1,T2, , , , , , ,1,1,1,1,1,0,5, ,2
1,43,4,4,2,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,Telekom,T-2,Telemach,A1, , , , , , ,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,Telemach,Telekom,T-2,A1, , , , , , ,1,1,1,1,0,0,1, ,4
1,32,2,5,2,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0,Telekom,A1,Telemach,T-2,Bob,Hot,Spar mobil, , , ,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,Telekom,A1,Telemach,T-2, , , , , , ,1,1,1,1,1,0,1, ,2
1,41,4,4,2,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,A1,telekom,Telemach,BOB, , , , , , ,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,A1,Telekom,Telemach, , , , , , , ,1,1,1,1,0,0,9, ,2
2,35,8,9,2,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,A1,Bob,Hofer,Telekom, , , , , , ,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,Total tv,T2, , , , , , , , ,1,1,1,1,1,0,5, ,5
